ci95_high,ci95_low,holm_adjusted_p,left,left_mean,left_rate,mcnemar_b,mcnemar_c,mean_difference,mean_ratio,median_difference,metric,n,p_value,right,right_mean,right_rate,risk_difference
0.049799,0.018534,0.000110,A3,,0.256667,67,26,,,,answer_correct,1200,0.000025,A1,,0.222500,0.034167
0.035280,0.004720,0.041250,A4,,0.242500,56,32,,,,answer_correct,1200,0.013750,A1,,0.222500,0.020000
0.044870,0.016796,0.000110,A3,,0.256667,56,19,,,,answer_correct,1200,0.000022,A2,,0.225833,0.030833
0.030102,0.003231,0.041250,A4,,0.242500,44,24,,,,answer_correct,1200,0.020527,A2,,0.225833,0.016667
-0.003239,-0.025094,0.041250,A4,,0.242500,14,31,,,,answer_correct,1200,0.016094,A3,,0.256667,-0.014167
-0.036635,-0.090032,0.000020,A3,,0.373333,98,174,,,,policy_correct,1200,0.000005,A1,,0.436667,-0.063333
-0.058110,-0.110223,0.000000,A4,,0.352500,81,182,,,,policy_correct,1200,0.000000,A1,,0.436667,-0.084167
0.036649,0.001685,0.079502,A3,,0.373333,69,46,,,,policy_correct,1200,0.039751,A2,,0.354167,0.019167
0.014666,-0.018000,0.920411,A4,,0.352500,49,51,,,,policy_correct,1200,0.920411,A2,,0.354167,-0.001667
-0.006737,-0.034929,0.015684,A4,,0.352500,25,50,,,,policy_correct,1200,0.005228,A3,,0.373333,-0.020833
-0.000372,-0.000435,,A3,0.000512,,,,-0.000405,0.912441,-0.000414,cost_usd,1200,,A1,0.000918,,
-0.000420,-0.000480,,A4,0.000469,,,,-0.000449,0.854479,-0.000505,cost_usd,1200,,A1,0.000918,,
-0.000404,-0.000427,,A3,0.000512,,,,-0.000415,0.561630,-0.000407,cost_usd,1200,,A2,0.000927,,
-0.000447,-0.000470,,A4,0.000469,,,,-0.000459,0.515882,-0.000428,cost_usd,1200,,A2,0.000927,,
-1680.472500,-2042.866667,,A3,967.173333,,,,-1849.858333,0.526281,-159.000000,latency_ms,1200,,A1,2817.031667,,
-1829.621667,-2200.530833,,A4,802.680833,,,,-2014.350833,0.450372,-481.000000,latency_ms,1200,,A1,2817.031667,,
-134.335000,-310.770833,,A3,967.173333,,,,-219.819167,0.786903,0.000000,latency_ms,1200,,A2,1186.992500,,
-304.758333,-466.545000,,A4,802.680833,,,,-384.311667,0.713945,0.000000,latency_ms,1200,,A2,1186.992500,,
